TYPE,TERM
mB,khuen ńjai ʔau khlɔŋ
mZ,khuən ńjai ʔau mä:
myB,khuən ʔau khlɔŋ
myZ,khu:n ʔau mä:
mFZD,khuan ńjai
mFBD,khuan ńjai
mMBD,khuan ńjai
mMZD,khuan ńjai
mFBS,khuan ńjai
mFZS,khuan ńjai
mMBS,khuan ńjai
mMZS,khuan ńjai
meB,khuen ńjai ʔau khlɔŋ
meZ,khuən ńjai ʔau mä:
mFeBS,khuan ńjai
mFyBS,khuan ńjai
mFeZS,khuan ńjai
mFyZS,khuan ńjai
mFeBD,khuan ńjai
mFyBD,khuan ńjai
mFeZD,khuan ńjai
mFyZD,khuan ńjai
mMeBS,khuan ńjai
mMyBS,khuan ńjai
mMeZS,khuan ńjai
mMyZS,khuan ńjai
mMeBD,khuan ńjai
mMyBD,khuan ńjai
mMeZD,khuan ńjai
mMyZD,khuan ńjai
mFBeS,khuan ńjai
mFByS,khuan ńjai
mFZeS,khuan ńjai
mFZyS,khuan ńjai
mFBeD,khuan ńjai
mFByD,khuan ńjai
mFZeD,khuan ńjai
mFZyD,khuan ńjai
mMBeS,khuan ńjai
mMByS,khuan ńjai
mMZeS,khuan ńjai
mMZyS,khuan ńjai
mMBeD,khuan ńjai
mMByD,khuan ńjai
mMZeD,khuan ńjai
mMZyD,khuan ńjai
mFB,baaba
mFZ,wobna
mMB,kawo
mMZ,kawo
mFeB,baaba
mFyB,baaba
mFeZ,wobna
mFyZ,wobna
mMeZ,kawo
mMyZ,kawo
mMeB,kawo
mMyB,kawo
